ASV	19G	23G	27G	1G	5G	10G	13G	17G	21G	25G	30G	B1	B3	B5	B8
79355eef341f77fe9c66073b6c28ffc9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0154e80bfa7798addc45eb25d4702e8d	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
eaaa47e8155d6b120de8a95e17521a71	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
84ce402bbecd33b12a0d464ecd799c90	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
e9565c3c33add94f175f9abaf0e78d87	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
77335bea331993675692cf9422a94f8d	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
118d3394d0199c3805eaa4412596620b	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3e8cb5b52cf06683159efd71cec947d9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
9af06af6adee8792d61176ff845f61e7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
58ae2cc4615cddcf8f70f6cd8e0c7f87	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
b47844f119aa0f8913e3550aa2527fd8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
8ffbf49bf85865fa870dfe771492f573	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
436006331110d64bdedd77738be68ca0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8fbea9d886ff3b5451b6ed6869df4a29	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0753df91aaf41d5bba91d63ac48a17cd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
806e79f02365be7a1f2e146b517c7fec	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
5aa45c8fa6a1add02cc9b5ca19e6e67c	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2a710c02bff5d9450a7c449b1b0c52cf	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
20566b3e66ab0bd137ebfdfb81ffc22b	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7d8620fe58de07ee2d8003c3bdb18562	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
998b656a05c578d2efe9d80fbdc565f9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
821d535c3bf1eff67bf6b45142b74b5f	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
8ca1c0aeef7e98911dd8a589499770e4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
85ee2d1247c8b94710fb0560ce8606c5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
a1212aa30812f074028ab72230878edc	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d100485c9ff5da48605e9314813ad239	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
befb1d731476c93541610258b3b48771	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
6d26bd04c34f95f168fb2c158354c7d7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
f5291276c7c92a492c530f25d903de93	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
6e403b550566d02c4136ce5143d90777	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
7cff5f508a51923e297ddcd35a52e8e2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
cd20c9d2592daddb298ac77cc9a4b58d	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
fbe5db2c0a7f460e39fdd53b75353590	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
de4f05578b3b707db5bcb61fba6883b8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
836879447fc7f1d44ee2e33c6be06e86	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
de994ba46e63cb6097c56c977aa47255	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
936e919792d33dd9fbc2356c0474c7dc	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1d92889405f0f23b1f3341d476e76acb	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
a6e59db2edde885b7bf96a0d03d12a2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2f117083d702f7c40b42ff76b94ba5c5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
12269f627e2094450493643cd1edf67d	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ae475b9f2c1585dec227f8347374c202	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
fdea62dacf6aaa7e2c567eecaa620224	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
458e640255b27bc91019f5059c34e516	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ded54b31db12b62402de0e8a23266030	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
31ccf45e8650c47a0fe69c1f417e7fc7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
e47355fb124d1224e42109b64eae816d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
8c9f5121ffa72ed08cb004a5efb813ab	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
532470a4d047c189152f9c744c6d233d	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3b68acc4d6ae4403c475750543b61494	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
cc5d2d76d325573b593ed28f407ba40c	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
a0cfd794306316e35639367cc51b48a1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
8f55380728fdbade84e3620d995c0d78	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
afc07db2cc609e37ea03b6abe9a3762a	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
faad07aa4a8c88d7e3ead9800441e648	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
9110f903abde308d38b0ec047557ff0d	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
8d8d4b9d46814aaf3ff8d4c855204148	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
9af0bf2132cef4450c6e8d84c1010418	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
d26f180e99d596151252898de1fe9b8c	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
8b85ed6527c873d7615f8619a9e34b5d	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
02e5d15b5ab44fdb23b4d0208c4a376b	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
c08ed2e0f0278001a492df388538c0a0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
deea535be5e03d75d205192656a09ea8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0092aa820f690317dcde4bf992947c8b	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1ba0d06ab6acc2538fffc751fbf421df	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
bff0bcfa0f0527bc229c138ca7a0eacd	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2521a7ddde6b08f8b25fbd9e43c1a323	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
18ddd3da250a2d915e1f5494670dc87d	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
705e32ed47bca6808af0f376d92970b9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
66d89bbb5c27858da86e262e902e1a7e	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06bbec0692a416652751800afca9f31a	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
6c7f931cd88474e1f55d11312d7356ca	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0338c641e39881755172beefb632c4e6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2afa37768f80716b96806b4f2bd8d751	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
bc39d1cdcc466d7ecac92ff260fcea00	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
c46b55283f3cd37f5cdad6cb14501881	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
4015cf5f82b032334948baf4c7ffabb4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
66ffe90eea64c1d1d68dbe30ce654792	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
6a09da700c594506756a06b17759a950	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3792cd76fce4647799dd687f5893b346	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
a59b7eb0f552b398868bbb9226ebb7da	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
91091e3aafa15be965b9f3592bc921e7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
a4b66b02eda03a2af3df0c7004f06617	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
e1bc58dd3b0455a849444f685c1dc751	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
d43522ef11a1c037b5d6e31314906cd4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4ae48a286cab665f524c293856eb0ed3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1a8da44fd1abb9daf862922c8aa50c81	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
108c9d32021b5f8e7d003b79c15dc153	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
c7dcb599e6d141000bebdfe83fe7d161	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1f357ca005be2530bd9e9c33df52e38d	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
cc3a9c23f6317cea8f2c50cda018a024	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2ac869ca83685135d60f41a49590644c	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
13c834ab171459a73425f3a1cf5072d1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
80014d2c48b2169c1579c3cae4a2d95f	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
e60598f19edde02712285946e887022f	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
d1cec9ae00ff170831f18f9ef3c8f551	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
64942bc2af179d2a9400bb734bc5e930	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eb0bd43cde95929f61b2beb5acbb80c5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2b6dcfdcafba83414b97d5fdd079ebcd	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
f8b04f9facdf9b25a92aef683274226d	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
bc6259bb089affae364e6f5a062eb626	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
bcfc6ef4807099ce776bb5a9b0bd3fef	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
85b7bbabc34cebead108835a9b5b67d1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5d76848434afdcf6b9037229451f37cf	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
847d4fc004ec53c744f7a0326dd92e3e	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
06bfb2f1aec7b1760d3f70fa589d52ad	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
b063d4b40e57b49cfec8e68be56dbd47	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
6e06b3f639b5f16e73fcfc23fbcbe8eb	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
7a2e236d393c10940a06763e8c1defdf	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
15fce5e0cd045ca61fd94c1842e02aa2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
f6c154a657ba55c55b8939898a8dcc2b	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
09304de7bcdde93714df6d4800a79b4d	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2f815fe7a78b4a7301bee60b8902cc7a	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
9b41424fb8dd1fd050b009e6497f73f2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
c5b4f2c0505a6d70455e1667fc2f9f84	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
a3ef0a56bd49bf9fc6bf491333c11ed2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
814e091358160adbaa83e0a6999972f9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
6fdb7853d6a0f1d56250d673064d2d65	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5441bf2a859d6831612daa777f982d82	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
25a656f33ed60d2f8a2ae207a6e7c86c	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3c387b0929380df5b622f3ef978c8312	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
dda67478da3a6a9286413474e61da663	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
9a0f5b30956f8824939957afb6072c76	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d3095dde6b89186a9431571af6a61688	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
20a5d09d6a14ff717298a935b6304d94	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
a60eeaa3bff0d2c5424ebf78c5e22988	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
f35a01fd2702a714d66399ef7cef892a	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
164ed351b647e7247dc91d7bdf8205e4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2e58f837396b8260cec92af887192701	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3c4c99f4c20e6440bd59ee2079dadf60	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
70cb62046b74f8d5932b13760f4270f3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
b3fa65328cccd898ec514c0a7b995209	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5b157513ce637047101cbf508f753e83	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5b820ece23712e1ef573ac0243227acb	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
49fbb8039f9daf96998198e155101ef3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
d5f73e58dba646b9e04177156734cc66	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
7fa3daa7db5a62228da18a3184458a12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2b14a0b64c82140b6f5c973b23b8ba32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
8d62e6614130767da6d39c99bef6c918	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1ab70f4319af0b0ab8107eee3979cc20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
f978779106f8d26778358cc3a700bc8b	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
38223f9cb40129ce5d01a70053979125	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5949190514b2f045acedad93fd4d1742	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1041944ad1c864b29fac9d9bb8092975	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
cfab2deef58c09381278c825782502e6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
80d80f0095da965e49a9a24d04c2c1a8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
f67bfc33bddfbd4d03ce7ae694c2dcdc	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
eca6fded88484063442bf36f8460835d	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b44ddad4b9b0651f24cc8b45987fd95c	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
56641b007eaf5fc23246cf7769d5db7a	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
629b9ad35b344b5a4b51c5e2c2f3ef4c	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5fad36f0c0c94df8d64fc2568685e4d0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
9187df63798b7a4221e572f30d1a82d0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
a9e7873ac55c3b60ad3678ec40bfa349	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
e0b07c0515412bbd7d5cca0217915491	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
698442c7073e390e34a6b79548b945bd	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
e3ccdbf27162b2f7324d0b07c264fcd2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7ff2fd980980a79b265b97cd6c2ba14f	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f58be2029cd4303af73a604b431f8e90	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
fdabee6d7496ac1f19ac3727dfad179d	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
53c2f7806d130ffe9a9c314d4033e88f	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ac9d72f86019673d94350dd21d1a1ea9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
283fac6a967e40f721550c61119894bb	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
c3ad598c69cfe547a30efcba651cb6aa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ce304027bbd31353e1173cd7475a42c5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
