ASV	L13	L1	L9	L5	L17	L14	L2	L10	L6	L18	L15	L3	L11	L7	L19	L16	L4	L12	L8	L20
6df9246070301e8ffbc429ff21cf635a	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9c41860c8caf64368f26a0d43abe0fe0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bcabd210567eeefc58e8a0cd40f7f645	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3d39a85327dbfa208830867529ce621f	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
6b5bd9d74ee1a7d358ebb97343c0ebbc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
7950931e107413b378d66f5cd4f2a3b7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5268eafd0786c216e6beafd7f435dac9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9e357acd4a733b06733c77250ed9c707	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3384addf19e720bc6e3bcf6bd1374107	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7af45e2bb9453c8618fa4811072c26a3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
bc6be9ef37d22a9dcc7f555f6089af26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0b5a34e251b79e7c3903fe8dd240f632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
dd3f015a467fae3a9bb48d14f63cf25d	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01c66e2a7ca11f4a9577194aab44147d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
26fefc910a55e0db7c6047c32b16a515	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ba066f298e689e8377581d8f05dd0f56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ba349a68e4de0e8db8a7635226f051b8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
f7421a7e0b0bcde99f34a863eb40a7a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ce49a0a15c82d11ee93f1b9fe671c147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5328fcc5e4d0beb90fab8e790376daab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
659345ab0b295a524c8158295f1b7e49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c30cccbfb1bd555dadd3f1799d419298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
8416185304dcaeba8307916c58a7333e	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
d9aba30b53e576b92e43a90218ee4021	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
629345c2091c1b846246b46f8083d196	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
e061746005078740f1a4d947e25f775f	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
72c231fe510fabe21c7bc80ec7ce01fc	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d98689984c199a2abc45adb430cf07dc	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
69d319b2d51d38a583b93f320feb49cf	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5a15b54a9fbe3fd86ae5eae371c61e47	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a52c9a2d904b2ea3522011fc1df2928b	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ab8d6997b6fe654cfbfeee21b1cc3e60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
50a27ec11ab9504f2932debe3ec6022b	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
029b8c66adece11d393ceadc896efb42	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
d91751e8506ebdd21a477adb8ac73341	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0e7e27d746dc0d87ef6b033cfabc68d9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1696b18807d92b294c7df82eec13d605	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f2eac1910439925666731047c6041bec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3f6b579c5c99c7265cb325271d47f5c8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
6921952e2f1944a9ea68ff7c2d04a7f4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2fe8e5e27684d7abb40d24b0c0f3b19a	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
dd9fa71a4317eefcd4f1e422045bb944	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
b92369a23c41b8745843493f56046801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
96409a883d68090c244c2be5a11aa1c3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0972c545aac8ac21358ab2d4a933bb42	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
6396b4c947d446d14dcdb28656ca50ea	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eddbeb91b8f6302b78e04095d8b87bd5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
f621be5e5ed3c6a80d35919c67811e18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5e7b8fd7751c8968dc1cbb67d1ff4931	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9abbe0e66862302869b2d7908c18fba7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f7df6828f0b06caae45415da63955675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
eb02f5b45656db4132cd9ad447e5a345	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
